"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"","1371","audio-keyboard-response","88","149154","0.0-1.0-1.43","../audio/teste-vocab--49.mp3","s","humano","moun"
"","null","html-keyboard-response","89","149669","0.0-1.0-0.44","+","null","",""
"","1549","audio-keyboard-response","90","151338","0.0-1.0-1.44","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","91","151849","0.0-1.0-0.45","+","null","",""
"","1659","audio-keyboard-response","92","153698","0.0-1.0-1.45","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","93","154214","0.0-1.0-0.46","+","null","",""
"","1880","audio-keyboard-response","94","156250","0.0-1.0-1.46","../audio/teste-vocab--13.mp3","s","ambulância","anbilans"
"","null","html-keyboard-response","95","156753","0.0-1.0-0.47","+","null","",""
"","2221","audio-keyboard-response","96","159154","0.0-1.0-1.47","../audio/teste-vocab--128.mp3","s","incisivo","ensisiv"
"","null","html-keyboard-response","97","159676","0.0-1.0-0.48","+","null","",""
"","2248","audio-keyboard-response","98","162127","0.0-1.0-1.48","../audio/teste-vocab--65.mp3","s","discussão","diskisyon"
"","null","html-keyboard-response","99","162637","0.0-1.0-0.49","+","null","",""
"","3211","audio-keyboard-response","100","166076","0.0-1.0-1.49","../audio/teste-vocab--99.mp3","s","arqueólogo","akeyológ"
"","null","html-keyboard-response","101","166586","0.0-1.0-0.50","+","null","",""
"","2120","audio-keyboard-response","102","168875","0.0-1.0-1.50","../audio/teste-vocab--54.mp3","s","arbusto","raje"
"","null","html-keyboard-response","103","169389","0.0-1.0-0.51","+","null","",""
"","2669","audio-keyboard-response","104","172227","0.0-1.0-1.51","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","105","172734","0.0-1.0-0.52","+","null","",""
"","1931","audio-keyboard-response","106","174999","0.0-1.0-1.52","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","107","175517","0.0-1.0-0.53","+","null","",""
"","2941","audio-keyboard-response","108","178709","0.0-1.0-1.53","../audio/teste-vocab--96.mp3","s","árido","sechrès"
"","null","html-keyboard-response","109","179219","0.0-1.0-0.54","+","null","",""
"","1992","audio-keyboard-response","110","181403","0.0-1.0-1.54","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","111","181914","0.0-1.0-0.55","+","null","",""
"","1669","audio-keyboard-response","112","183777","0.0-1.0-1.55","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","113","184285","0.0-1.0-0.56","+","null","",""
"","1701","audio-keyboard-response","114","186163","0.0-1.0-1.56","../audio/teste-vocab--57.mp3","s","raiz","rasin"
"","null","html-keyboard-response","115","186675","0.0-1.0-0.57","+","null","",""
"","1160","audio-keyboard-response","116","187990","0.0-1.0-1.57","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","117","188492","0.0-1.0-0.58","+","null","",""
"","1901","audio-keyboard-response","118","190547","0.0-1.0-1.58","../audio/teste-vocab--100.mp3","s","consumir","konsome"
"","null","html-keyboard-response","119","191054","0.0-1.0-0.59","+","null","",""
"","2021","audio-keyboard-response","120","193243","0.0-1.0-1.59","../audio/teste-vocab--69.mp3","s","pingar","degoute"
"","null","html-keyboard-response","121","193748","0.0-1.0-0.60","+","null","",""
"","1672","audio-keyboard-response","122","195565","0.0-1.0-1.60","../audio/teste-vocab--39.mp3","s","cobra","koulèv"
"","null","html-keyboard-response","123","196071","0.0-1.0-0.61","+","null","",""
"","1792","audio-keyboard-response","124","198045","0.0-1.0-1.61","../audio/teste-vocab--91.mp3","s","bússola","bousòl"
"","null","html-keyboard-response","125","198562","0.0-1.0-0.62","+","null","",""
"","1669","audio-keyboard-response","126","200436","0.0-1.0-1.62","../audio/teste-vocab--64.mp3","s","colher","kiyè"
"","null","html-keyboard-response","127","200945","0.0-1.0-0.63","+","null","",""
"","1939","audio-keyboard-response","128","203096","0.0-1.0-1.63","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","129","203611","0.0-1.0-0.64","+","null","",""
"","1781","audio-keyboard-response","130","205548","0.0-1.0-1.64","../audio/teste-vocab--62.mp3","s","carretel","bobin"
"","null","html-keyboard-response","131","206059","0.0-1.0-0.65","+","null","",""
"","2461","audio-keyboard-response","132","208716","0.0-1.0-1.65","../audio/teste-vocab--58.mp3","s","nutritivo","nourisan"
"","null","html-keyboard-response","133","209228","0.0-1.0-0.66","+","null","",""
"","1960","audio-keyboard-response","134","211388","0.0-1.0-1.66","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","135","211892","0.0-1.0-0.67","+","null","",""
"","2451","audio-keyboard-response","136","214508","0.0-1.0-1.67","../audio/teste-vocab--129.mp3","s","elipse","elips"
"","null","html-keyboard-response","137","215016","0.0-1.0-0.68","+","null","",""
"","2101","audio-keyboard-response","138","217276","0.0-1.0-1.68","../audio/teste-vocab--86.mp3","s","pensar","panse"
"","null","html-keyboard-response","139","217782","0.0-1.0-0.69","+","null","",""
"","1229","audio-keyboard-response","140","219172","0.0-1.0-1.69","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","141","219680","0.0-1.0-0.70","+","null","",""
"","3091","audio-keyboard-response","142","222926","0.0-1.0-1.70","../audio/teste-vocab--08.mp3","s","vaca","vach"
"","null","html-keyboard-response","143","223439","0.0-1.0-0.71","+","null","",""
"","2149","audio-keyboard-response","144","225797","0.0-1.0-1.71","../audio/teste-vocab--43.mp3","s","mecânico","mekanisyen"
"","null","html-keyboard-response","145","226303","0.0-1.0-0.72","+","null","",""
"","1701","audio-keyboard-response","146","228207","0.0-1.0-1.72","../audio/teste-vocab--29.mp3","s","rasgar","chire"
"","null","html-keyboard-response","147","228719","0.0-1.0-0.73","+","null","",""
"","2389","audio-keyboard-response","148","231549","0.0-1.0-1.73","../audio/teste-vocab--66.mp3","s","cooperação","koperasyon"
"","null","html-keyboard-response","149","232061","0.0-1.0-0.74","+","null","",""
"","4909","audio-keyboard-response","150","237154","0.0-1.0-1.74","../audio/teste-vocab--80.mp3","n","binóculo","longvi"
"","null","html-keyboard-response","151","237669","0.0-1.0-0.75","+","null","",""
"","1491","audio-keyboard-response","152","239402","0.0-1.0-1.75","../audio/teste-vocab--48.mp3","s","joia","bijou"
"","null","html-keyboard-response","153","239908","0.0-1.0-0.76","+","null","",""
"","1720","audio-keyboard-response","154","241798","0.0-1.0-1.76","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","155","242305","0.0-1.0-0.77","+","null","",""
"","3989","audio-keyboard-response","156","246533","0.0-1.0-1.77","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","157","247046","0.0-1.0-0.78","+","null","",""
"","2371","audio-keyboard-response","158","249609","0.0-1.0-1.78","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","159","250127","0.0-1.0-0.79","+","null","",""
"","1539","audio-keyboard-response","160","251826","0.0-1.0-1.79","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","161","252336","0.0-1.0-0.80","+","null","",""
"","1429","audio-keyboard-response","162","253901","0.0-1.0-1.80","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","163","254407","0.0-1.0-0.81","+","null","",""
"","1949","audio-keyboard-response","164","256580","0.0-1.0-1.81","../audio/teste-vocab--72.mp3","s","ilha","zile"
"","null","html-keyboard-response","165","257095","0.0-1.0-0.82","+","null","",""
"","1819","audio-keyboard-response","166","259094","0.0-1.0-1.82","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","167","259607","0.0-1.0-0.83","+","null","",""
"","1331","audio-keyboard-response","168","261222","0.0-1.0-1.83","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","169","261725","0.0-1.0-0.84","+","null","",""
"","1840","audio-keyboard-response","170","263942","0.0-1.0-1.84","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","171","264450","0.0-1.0-0.85","+","null","",""
